turn,model_used,tokens_used,input_complexity,cumulative_cost
1,small_mistral,150,low,0.00015
2,small_mistral,150,low,0.00015
2,small_mistral,150,low,0.00015
2,small_mistral,150,low,0.00015
1,small_mistral,120,low,0.00012
2,medium_mistral,350,medium,0.00062
3,large_mistral,850,high,0.00212
1,mistral-small-latest,6,medium,1.2000000000000002e-06
2,mistral-small-latest,8,medium,2.8000000000000003e-06
3,mistral-small-latest,10,medium,4.800000000000001e-06
4,mistral-small-latest,18,medium,8.400000000000001e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
2,mistral-small-latest,8,medium,2.8000000000000003e-06
3,mistral-small-latest,10,medium,4.800000000000001e-06
4,mistral-small-latest,18,medium,8.400000000000001e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
2,mistral-small-latest,8,medium,2.8000000000000003e-06
3,mistral-small-latest,10,medium,4.800000000000001e-06
4,mistral-small-latest,18,medium,8.400000000000001e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,12,medium,2.4000000000000003e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,6,medium,1.2000000000000002e-06
1,mistral-small-latest,22,medium,4.4e-06
1,mistral-small-latest,22,medium,4.4e-06
1,mistral-small-latest,22,medium,4.4e-06
1,mistral-small-latest,22,medium,4.4e-06
2,ministral-3b-latest,4,small,4.800000000000001e-06
1,ministral-3b-latest,6,small,6.000000000000001e-07
2,ministral-3b-latest,16,small,2.2e-06
3,mistral-small-latest,16,medium,5.400000000000001e-06
1,mistral-small-latest,18,medium,3.6000000000000003e-06
1,ministral-3b-latest,6,small,6.000000000000001e-07
1,ministral-3b-latest,16,small,1.6000000000000001e-06
1,ministral-3b-latest,8,small,8.000000000000001e-07
2,mistral-medium-latest,8,large,1.68e-05
3,mistral-large-latest,42,xlarge,0.0001428
1,ministral-3b-latest,16,small,1.6000000000000001e-06
2,ministral-3b-latest,18,small,3.4000000000000005e-06
1,ministral-3b-latest,6,small,6.000000000000001e-07
1,ministral-3b-latest,18,small,1.8000000000000001e-06
2,mistral-small-latest,16,medium,5e-06
3,mistral-medium-latest,24,large,5.3e-05
1,mistral-small-latest,22,medium,4.4e-06,0.99,confirmed
2,mistral-medium-latest,16,large,3.64e-05,0.99,corrected
3,mistral-large-latest,16,xlarge,8.439999999999999e-05,0.99,confirmed
4,ministral-3b-latest,12,small,8.56e-05,0.99,corrected
5,ministral-3b-latest,24,small,8.8e-05,0.99,corrected
6,ministral-3b-latest,24,small,9.04e-05,0.99,skipped
7,mistral-medium-latest,26,large,0.0001424,0.95,confirmed
8,mistral-medium-latest,32,large,0.00020639999999999998,0.99,confirmed
9,mistral-medium-latest,16,large,0.00023839999999999997,0.99,corrected
10,ministral-3b-latest,26,small,0.00024099999999999998,0.99,confirmed
11,ministral-3b-latest,14,small,0.00024239999999999998,0.99,confirmed
1,ministral-3b-latest,1081,small,0.00010810000000000003,0.99,confirmed
2,mistral-small-latest,576,medium,0.00027810000000000004,0.99,confirmed
3,mistral-medium-latest,1040,large,0.0021597,0.99,confirmed
4,ministral-3b-latest,387,small,0.0021984,0.99,confirmed
1,ministral-3b-latest,458,small,4.58e-05,0.99,skipped
1,ministral-3b-latest,163,small,1.63e-05,0.99,confirmed
2,mistral-medium-latest,2273,large,0.0045255,0.99,confirmed
1,ministral-3b-latest,65,small,6.5000000000000004e-06,0.99,confirmed
1,ministral-3b-latest,56,small,5.600000000000001e-06,0.99,confirmed
2,ministral-3b-latest,304,small,3.6e-05,0.99,confirmed
3,mistral-medium-latest,1191,large,0.002234,0.99,confirmed
4,ministral-3b-latest,429,small,0.0022768999999999997,0.99,corrected
1,ministral-3b-latest,45,small,4.5e-06,0.99,corrected
1,ministral-3b-latest,75,small,7.500000000000001e-06,0.99,corrected
2,ministral-3b-latest,217,small,2.9199999999999998e-05,0.99,corrected
